DATE,EVENT
01/11/1991,"Early November: Tropical Storm Thelma lashes into Eastern Visayas, leaving 8,000 people dead."
24/11/1991,"24 November: Death of Freddie Mercury, British singer, songwriter, and record producer."
22/11/1991,22 November: Release date of Disney's Beauty and the Beast.
26/12/1991,26 December:
16/01/1992,16 January: End of the Salvadorian Civil War.
07/02/1992,7 February: The Maastricht Treaty creates the European Union.
03/04/1992,3 April: End of dictatorship in Albania.
06/04/1992,6 April: The Bosnian War begins.
01/04/1992,April to May: Los Angeles riots over the acquittal of those involved in the beating of Rodney King.
01/08/1992,August: Hurricane Andrew kills 65 and causes $26.5 billion in damages in the Bahamas and the United States.
08/08/1992,"8 August: After the end of its dictatorship, South Korea is admitted to the UN."
04/10/1992,"4 October: El Al Flight 1862, in which a Boeing 747 cargo aircraft of the then state-owned Israeli airline El Al crashes into the Groeneveen and Klein-Kruitberg flats in the Bijlmermeer neighbourhood of Amsterdam, resulting in 43 deaths."
25/11/1992,25 November: Release date of Disney's Aladdin.
30/11/1992,30 November: Release date of Schindler's List.
29/12/1992,"29 December: After controversies surrounding him result in an impeachment process, Fernando Collor resigns and Itamar Franco takes office as President of Brazil."
01/01/1993,1 January: Velvet Divorce between Czech Republic and Slovakia.
20/01/1993,20 January: Bill Clinton becomes President of the United States.
26/02/1993,26 February: 1993 World Trade Center bombing.
01/02/1993,"February to April: The Waco siege, the law enforcement siege of the compound that belonged to the Seventh-day Adventist religious sect Branch Davidians near Waco, Texas, carried out by the U.S. federal government, Texas state law enforcement, and the U.S. military, which results in gunfight and 86 deaths."
11/06/1993,11 June: Release date of Steven Spielberg's Jurassic Park.
24/05/1993,24 May: Independence of Eritrea.
28/06/1993,"28 June: Two UPLB students Eileen Sarmenta and Allan Gomez were abducted and killed by the men of Calauan, Laguna Mayor Antonio Sanchez in the Philippines."
27/07/1993,27 July: Release date of Windows NT 3.1.
13/09/1993,13 September: Oslo accords end First Intifada between Israel and Palestine.
01/11/1993,1 November: The Maastricht Treaty founds the European Union.
02/12/1993,2 December: Colombian drug lord Pablo Escobar is gunned down by police.
11/12/1993,"11 December: The Highland Towers collapse in Selangor, Malaysia, leaving 48 dead."
01/01/1994,1 January: Establishment of North American Free Trade Agreement (NAFTA).
25/02/1994,"25 February: Cave of the Patriarchs massacre in the West Bank, a shooting massacre carried out by American-Israeli Baruch Goldstein, which resulted in 30 deaths and 125 injuries."
06/04/1994,6 April: The assassination of Juvénal Habyarimana and Cyprien Ntaryamira triggers the Rwandan genocide.
08/04/1994,8 April: Suicide of Kurt Cobain.
10/05/1994,10 May: End of apartheid in South Africa and election of Nelson Mandela.
06/05/1994,6 May: Opening of the Channel Tunnel.
01/05/1994,May to July: First Yemeni Civil War.
01/05/1994,"1 May: Death of Ayrton Senna, Brazilian racing driver."
15/06/1994,15 June: Release date of Disney's The Lion King.
23/06/1994,23 June: Release date of Forrest Gump.
01/07/1994,1 July: Plano Real introduces the new real currency in Brazil.
02/07/1994,2 July: Colombian footballer Andrés Escobar is shot dead in Medellín.
05/07/1994,"5 July: Amazon founded in Bellevue, Washington by Jeff Bezos."
08/07/1994,8?17 July: Death and state funeral of Kim Il-sung. Kim Jong-il becomes Supreme Leader of North Korea.
21/09/1994,21 September: Release date of Windows NT 3.5.
28/09/1994,"28 September: The car ferry MS Estonia sinks in the Baltic Sea, killing 852 people."
01/10/1994,1 October: Palau gains independence from the United States.
03/12/1994,3 December: Release date of the PlayStation in Japan.
11/12/1994,11 December: The First Chechen War begins.
14/12/1994,"14 December: Construction of the Three Gorges Dam begins in Hubei, China."
01/01/1995,1 January:
17/01/1995,"17 January: A 6.9 Mw  Great Hanshin earthquake strikes the southern Hyogo Prefecture of Japan with a maximum Shindo of VII, leaving 5,502?6,434 people dead, and 251,301?310,000 displaced."
20/03/1995,"20 March: The Tokyo subway sarin attack, an act of domestic terrorism perpetrated by members of the doomsday cult movement Aum Shinrikyo (now Aleph), in which they released sarin, an extremely toxic synthetic compound, in five coordinate attacks, resulting in 13 deaths and 6,252 injuries."
31/03/1995,31 March: Murder of Selena.
07/04/1995,7 April: Release date of Disney's Pocahontas.
19/04/1995,19 April: American terrorist Timothy McVeigh bombs the Alfred P. Murrah Federal Building in Oklahoma City.
29/06/1995,"29 June: The Sampoong Department Store collapse, a structural failure in a department store in Seoul, South Korea, kills 502 people and injures other 1,445."
11/07/1995,"11?22 July: The Srebrenica massacre of over 8,000 Bosniak Muslim men and boys."
21/07/1995,21 July: The Third Taiwan Strait Crisis begins.
01/08/1995,August to September: NATO bombing raids in Bosnia end the Bosnian War.
24/08/1995,24 August: Release date of Windows 95.
09/09/1995,9 September: Release date of the PlayStation in North America.
28/09/1995,28 September: Oslo II Accord.
03/10/1995,3 October: O. J. Simpson is found not guilty of double murder for the deaths of former wife Nicole Simpson and Ronald Goldman in 1994.
01/10/1995,"October to November: Typhoon Angela leaves the Philippines and Vietnam devastated, with 882 deaths and US$315 million in damage."
04/11/1995,"4 November: Assassination of Yitzhak Rabin, Israeli Prime Minister and Defence Minister, by Yigal Amir, an Israeli right-wing extremist."
22/11/1995,"22 November: Premiere of Toy Story, the first computer-animated feature film and the first Pixar Animation Studios film."
14/12/1995,14 December: The signing of the Dayton Accords put an end to the three-and-a-half-year-long Bosnian War.
18/03/1996,"18 March: The Ozone Disco Club fire in Quezon City, Philippines, kills 162 people."
23/03/1996,23 March: The Third Taiwan Strait Crisis ends.
28/04/1996,"28?29 April: The Port Arthur massacre in Tasmania, Australia leaves 35 people dead, leading to tighter gun regulations in Australia. Nepalese Civil War begins."
23/06/1996,23 June: Release date of the Nintendo 64 video game console in Japan.
05/07/1996,5 July: Dolly the sheep becomes the first successful cloned mammal.
24/08/1996,24 August: Release date of Windows NT 4.0.
31/08/1996,31 August: The First Chechen War ends.
02/09/1996,2 September: A permanent peace agreement is signed at the MalacaĄan Palace between the Government of the Philippines and the Moro National Liberation Front.
07/09/1996,7 September: Murder of Tupac Shakur.
23/09/1996,23?27 September: Western Wall Tunnel riots.
27/09/1996,"27 September: The Taliban government takes control of Afghanistan, creating the Islamic Emirate of Afghanistan."
24/10/1996,24 October: The First Congo War begins.
01/11/1996,1 November: Release of DVD in Japan.
01/01/1997,"January to August: The Albanian Civil War (Lottery Uprising), sparked by pyramid scheme failures, in which the government was toppled, with new parliamentary elections, and more than 2,000 people killed."
04/02/1997,"4 February: 1997 Israeli helicopter disaster, when two Israeli Air Force transport helicopters ferrying Israeli soldiers into Israel's security zone in southern Lebanon collided in mid-air, killing all 73 Israeli military personnel on board."
01/03/1997,March: 39 Heaven's Gate cultists commit mass suicide at their compound.
09/03/1997,"9 March: Murder of Biggie Smalls, American hip-hop artist."
13/03/1997,"13 March: Island of Peace massacre, a mass murder attack that occurred at the Island of Peace on the Israeli-Jordanian border, in which 7 people were killed and 6 injured."
02/05/1997,2 May: Tony Blair becomes Prime Minister of the United Kingdom.
17/05/1997,17 May: Kabila ousts Mobutu; Zaire becomes the Democratic Republic of the Congo.
21/05/1997,21 May: Radiohead release OK Computer.
25/06/1997,25 June: J. K. Rowling publishes Harry Potter and the Philosopher's Stone.
27/06/1997,27 June : Release date of Disney's Hercules.
01/07/1997,1 July: Transfer of sovereignty over Hong Kong from UK to China.
02/07/1997,"2 July: The Bank of Thailand floats the baht, triggering the Asian financial crisis."
02/08/1997,2 August: The First Liberian Civil War ends.
31/08/1997,"31 August: Diana, Princess of Wales is killed in a car accident in Paris."
19/12/1997,19 December: Release date of Titanic.
01/02/1998,February: Osama bin Laden publishes a fatwa against the West.
01/05/1998,"May: Riots in Indonesia, including incidents of mass violence, demonstrations, and civil unrest of a racial nature, result in the Fall of Suharto and the independence of East Timor."
28/05/1998,28 May: Murder of Phil Hartman.
19/06/1998,19 June: Release date of Disney's Mulan.
25/06/1998,25 June: Release date of Windows 98.
30/06/1998,30 June: Joseph Estrada becomes President of the Philippines.
10/04/1998,10 April: The Good Friday Agreement brings an end to The Troubles in Northern Ireland.
15/04/1998,15 April: Death of Pol Pot.
02/08/1998,2 August: The Second Congo War begins.
07/08/1998,7 August: Kenya and Tanzania bombings.
04/09/1998,4 September: Google is founded by Larry Page and Sergey Brin.
21/10/1998,21 October: Release date of Nintendo's Game Boy Color handheld console in Japan.
01/10/1998,"October to November: Hurricane Mitch leaves more than 19,325 dead in Central America as a result of catastrophic flooding and mudslides."
17/11/1998,17 November: Release date of Nintendo's Game Boy Color handheld console in North America.
25/11/1998,"25 November: Release date of A Bug's Life, Pixar Animation's second feature movie."
27/11/1998,27 November: Sega releases the Dreamcast video game console in Japan.
19/12/1998,19 December: The impeachment of Bill Clinton begins as a result of the Clinton?Lewinsky scandal.
01/01/1999,1 January: Euro introduced to the financial markets. Coins and banknotes enter circulation in participating countries in 2002.
02/02/1999,2 February: Hugo Chavez becomes President of Venezuela.
01/04/1999,"April: A crisis in East Timor, which led to 1,400 deaths, begins."
20/04/1999,"20 April: The Columbine High School massacre in Colorado, United States, causes 15 deaths."
21/04/1999,21 April: The Second Liberian Civil War begins.
01/05/1999,1 May: The first episode SpongeBob SquarePants airs on Nickelodeon.
01/05/1999,May to July: The Fourth Indo-Pakistani War.
11/06/1999,11 June: The end of the Kosovo War ends the Yugoslav Wars.
18/06/1999,18 June: Release date of Disney's Tarzan.
16/07/1999,16 July: John F. Kennedy Jr. plane crash.
26/08/1999,26 August: The Second Chechen War begins.
03/09/1999,3?16 September: Russian apartment bombings kill more than 350 people.
09/09/1999,9 September: Sega releases the Dreamcast video game console in North America.
12/10/1999,12 October: World population reaches 6 billion.
30/11/1999,30 November: ExxonMobil founded.
31/12/1999,31 December: Vladimir Putin becomes President of Russia.
01/01/2000,"1 January: The first day of the 3rd millennium was celebrated worldwide on New Year's Day 2000, though not without dispute."
29/02/2000,29 February: A rare century leap year date occurs.
30/04/2000,"30 April: The Canonization of Faustina Kowalska occurs in the presence of 200,000 people and the first Divine Mercy Sunday celebrated worldwide."
04/03/2000,4 March: Release date of the Sony PlayStation 2 in Japan.
01/04/2000,"April to September: Abu Sayyaf gunmen seized 21 people including 10 tourists and 11 resort workers, two of them Filipinos, from the resort island of Sipadan, Malaysia."
01/05/2000,May: End of Israeli occupation of Lebanon.
05/05/2000,5 May: The ILOVEYOU computer virus affects Windows computers and spreads fast.
06/05/2000,6 May: The British Army launches Operation Palliser which effectively ends the Sierra Leone Civil War.
11/05/2000,11 May: India becomes the second country to reach 1 billion people.
13/06/2000,"13?15 June: 2000 inter-Korean summit, the first inter-Korean summit."
15/06/2000,15 June: Premiere of Disney's Fantasia 2000.
28/06/2000,"28 June: Elián González returns to Cuba with his father, Juan Miguel González, ending a protracted custody battle."
09/07/2000,"9 July: Philippine forces capture the main camp of MILF, Camp Abubakar in Mindanao."
25/07/2000,"25 July: Air France Flight 4590 crashes into a hotel in Gonesse, France just after takeoff from Paris, killing all 109 aboard and 4 in the hotel."
06/09/2000,"6?8 September: The Millennium Summit, a meeting among many world leaders at the United Nations headquarters in New York City with the purpose of discussing the role of the United Nations at the turn of the 21st century."
28/09/2000,28 September: The Second Intifada begins.
05/10/2000,"5 October: Overthrow of Slobodan Milo?evic, President of Yugoslavia."
12/10/2000,"12 October: al-Qaeda suicide bombs the USS Cole, killing 17 sailors, injuring 39 others, and damaging the ship."
26/10/2000,26 October: Release date of the Sony PlayStation 2 in North America.
01/12/2000,"1 December: Vicente Fox becomes the first opposition President of Mexico, ending 71 years of single-party rule in the nation."
01/11/2000,"November: George W. Bush is elected President of the United States, after a contentious recount in Florida."
02/11/2000,"2 November: First long-term residents (Expedition 1) of the International Space Station, whose first component was launched in 1998."
25/12/2000,25 December: The Luoyang Christmas fire at a shopping center in China kills 309 people.
30/12/2000,"30 December: Multiple terrorist bombings in Metro Manila occurs on Rizal Day, killing 22 people and injuring more than 120 others."
20/01/2001,20 January: George W. Bush is inaugurated as the 43rd President of the United States. He is the second president from the Bush family.
01/04/2001,1 April: The Netherlands becomes the first country in the world to legalize same-sex marriage.
13/05/2001,"13 May: The conservative media magnate Silvio Berlusconi wins the general election in Italy, becoming country's Prime Minister. Berlusconi would dominate Italian political life for all the decade."
01/06/2001,"1 June: The Nepalese royal massacre occurs at a house on the grounds of the Narayanhity Royal Palace, the residence of the Nepalese monarchy. Ten members of the family were killed during a party or monthly reunion dinner of the royal family in the house. The dead included King Birendra of Nepal and Queen Aishwarya."
20/07/2001,"20 July: More than 200,000 anti-globalization protesters marched in Genoa, during the 27th G8 summit. Two demonstrators were killed by the Italian police. On July 21 a group of Carabinieri attacked the school Armando Diaz, seriously injuring many peaceful protesters. Prime Minister Silvio Berlusconi insisted that police used the minimum amount of force necessary to achieve their goals."
11/09/2001,"11 September: September 11 attacks ? Nineteen al-Qaeda terrorists hijack four commercial airliners and crash two of them into the World Trade Center, one into the Pentagon and one into a field in Shanksville, Pennsylvania of the United States on September 11, killing nearly 3,000 people. The United States subsequently declares the War on Terror."
11/12/2001,"11 December: After 15 years of negotiations, the People's Republic of China becomes a member of the World Trade Organization (WTO)."
07/10/2001,"2001?2014 ? The Northern Alliance and NATO-led ISAF invaded Afghanistan on October 7, 2001, and overthrew the Al-Qaeda-supportive Taliban government. Troops remained to install a democratic government, fight a slowly escalating insurgency, and to hunt for Al-Qaeda leader Osama bin Laden who was killed by American troops nearly 10 years later, on May 2, 2011. On December 24, 2014, NATO forces officially ended combat operations in Afghanistan; but forces still remain to the present."
20/05/2002,"20 May: After a long period of occupation by Indonesia, East Timor's independence is recognized by Portugal and by the UN."
01/07/2002,1 July: The International Criminal Court (ICC) is established.
10/09/2002,"10 September: Switzerland, a neutral country, becomes a member of the United Nations."
12/10/2002,"12 October: Jemaah Islamiyah, a violent Islamist group, claimed responsibility for the detonation of three bombs in the tourist district of Kuta on the Indonesian island of Bali. The attack killed 202 people and 209 people were injured."
15/11/2002,"15 November: Hu Jintao becomes the General Secretary of the Communist Party of China, making him the paramount leader of China after Jiang Zemin."
01/02/2003,"2003?present ? In February 2003, a conflict in Darfur, Sudan, began and soon escalated into full-scale war. By 2008 it was believed that up to 400,000 people had been killed and over 2.5 million displaced. In 2005, the ICC decided that Darfur war criminals would be tried, and on July 14, 2008, Sudanese president Omar al-Bashir was charged with 5 accounts of crimes against humanity and 2 accounts of war crimes, although the ICC has no power to enforce these charges."
20/03/2003,"2003?2010 ? The U.S.-led coalition invaded Iraq on March 20, 2003, and overthrew the government of Saddam Hussein (who was executed by the Iraqi government on December 30, 2006). Coalition troops remain in the country to install a democratic government and fight an escalating insurgency. In addition to an insurgency against the American presence, Iraq also suffered from a civil war for several years. The war was soon seen as the central front of the War on Terror by many governments, despite growing international dissatisfaction with the war. The total death toll has been estimated at near 150,000 but these estimations are highly disputed, with one highly disputed study guessing even over 1 million.[40] After the U.S.-led coalition initiated a troop surge in 2007, casualty numbers have decreased significantly. Combat ended, at least officially, in August 2010."
03/11/2003,"2003?2005 ? A series of nonviolent revolutions known as the colour revolutions overthrew governments in Georgia, Ukraine, Kyrgyzstan, and Lebanon."
01/12/2003,December: Libyan leader Muammar Gaddafi announced that Libya would voluntarily eliminate all weapons of mass destruction.
11/03/2004,"11 March: Ten explosions occur at the Cercanías commuter train system of Madrid, Spain, killing 191 people and injuring around 2,000."
01/05/2004,"1 May: The European Union expanded by 10 countries (8 former communist countries, plus Malta and Cyprus)."
01/09/2004,"1 September: A group of Chechen rebels invades a school in Beslan, keeping thousands of hostages during three days. A series of shootings and bombings kills 334 people and injured 750."
11/11/2004,"11 November: Palestinian leader and Chairman of the Palestine Liberation Organization Yasser Arafat dies in France, at the age of 75, from hemorrhagic stroke."
18/11/2004,18 November: Massachusetts became the first U.S. state to legalize same-sex marriage.
07/07/2005,"7 July: Four Islamic extremist suicide bombers set off three bombs in London; 56 people were killed, including the four suicide bombers."
19/11/2005,"19 November: After the death of Pope John Paul II in April, Joseph Ratzinger of Germany is elected as Pope Benedict XVI."
22/11/2005,22 November: Angela Merkel becomes the first female elected Chancellor of Germany.
03/06/2006,"2006?2008 ? The dismantling of former Yugoslavia continued after Montenegro gained independence on June 3, 2006, and Kosovo declared independence on February 17, 2008. However, Kosovo's independence was disputed by Russia and many of its allies and was only partially recognized."
12/07/2006,"12 July: Hezbollah crosses the border of Lebanon and captures two Israeli soldiers. Israel responds by sending troops across the border and bombing Hezbollah strongholds, while Hezbollah fires missiles on towns in northern Israel, approximately 6 each day. At the end of the war 1,200 Lebanese civilians, 500 Hezbollah fighteres, 44 Israeli civilians and 121 Israeli soldiers die. A ceasefire is signed on August 14, after which Israeli troops withdrew from Lebanon."
09/10/2006,9 October: North Korea conducted its first nuclear test on October 9.[41] This was preceded by years of political wrangling with the U.S. over the status of their nuclear program.
01/01/2007,1 January: Bulgaria and Romania join the European Union.
25/01/2007,"25 January: A civil war escalated in the Gaza Strip throughout June, which resulted in Hamas eventually driving most Fatah-loyal forces from the Strip. In reaction, Palestinian president Mahmoud Abbas dismissed Hamas prime minister Ismail Haniyeh and dissolved the Hamas-ruled parliament. Scattered conflict continues."
25/07/2007,25 July: Pratibha Patil becomes the first woman to be elected President of India.
13/12/2007,"13 December: 27 EU member states signed the Treaty of Lisbon, and entered into force on 1 December 2009."
17/02/2008,17 February: Kosovo unilaterally declared independence from Serbia. Serbia refuses to recognize it and considers Kosovo as part of its territory.
01/04/2008,"1 April: Some cadres of Communist Party of Nepal (Maoist Centre) attacked Senior leader of Nepali Congress, Bal Chandra Poudel, during an electoral period in Rasuwa, Nepal."
01/08/2008,"1 August: An armed conflict is fought between Georgia on one side, and the Russian Federation together with Ossetians and Abkhazians on the other. Russia officially recognized independence of Abkhazia and South Ossetia."
04/11/2008,"4 November: Barack Obama is elected as the first African-American President of the United States. He is sworn into office in January 2009. He is awarded the 2009 Nobel Peace Prize by the Norwegian Nobel Committee, which cited ""his extraordinary efforts to strengthen international diplomacy and cooperation between peoples,"" and accepted the award the following year with ""deep gratitude and great humility""."
13/06/2009,"13 June: A protest begins in Iran, after a presidential election against Iranian President Mahmoud Ahmadinejad."
24/06/2010,24 June: Julia Gillard becomes the first female Prime Minister of Australia.
25/02/2010,25 February: Kamla Persad-Bissessar becomes the first female Prime Minister of Trinidad and Tobago.[42][43]
10/04/2010,"10 April: Polish President Lech Kaczynski dies in an airplane crash near the city of Smolensk, Russia, along with his wife and 94 other people on board."
13/11/2010,13 November: Burmese opposition leader and 1991 Nobel Peace Prize awardee Aung San Suu Kyi is released from her house arrest after being incarcerated since 1989.
17/12/2010,"17 December: The Arab Spring, a revolutionary wave, begins in Tunisia, spreads throughout the Middle Eastern countries, with protests, demonstrations, riots and civil wars for free elections and human rights."
11/03/2011,"11 March: The 2011 Tohoku earthquake and tsunami and the subsequent Fukushima Daiichi nuclear disaster in Japan result in 15,899 deaths."
29/04/2011,"29 April: An estimated two billion people watch the wedding of Prince William, Duke of Cambridge and Catherine Middleton at Westminster Abbey in London."
02/05/2011,"2 May: al-Qaeda leader Osama bin Laden, who was responsible for the development of the plans for the 9/11 attacks, is killed in a raid on his compound in Abbottabad, Pakistan by the U.S. Navy's SEAL Team 6 (DEVGRU)."
10/07/2011,"10 July: Britain's largest tabloid newspaper, the News of the World, shuts down after 168 years in print due to the 2009 phone hacking scandal."
14/07/2011,"14 July: South Sudan, after the January 2011 independence referendum, becomes a member of the United Nations."
22/07/2011,"22 July: Anders Behring Breivik carries out terrorist attacks, the first being a bomb blast which targeted government buildings in central Oslo, the second being a massacre at a youth camp on the island of UtŤya. It was the deadliest attack in Norway since the Second World War, with 77 people killed and 319 injuries."
17/09/2011,"17 September: the Occupy movement, an international protest movement against social and economic inequality, takes shape. It's partially inspired by the Arab Spring and is one of the first significant global protest movements to occur in the age of social media."
20/10/2011,"20 October: deposed dictator Muammar Gaddafi is captured and killed by the National Liberation Army of Libya, during Libyan Civil War."
31/10/2011,31 October: Dilma Rousseff is elected as the first female President of Brazil. She served as the President until her impeachment and removal from office on 31 August 2016.
16/11/2011,"16 November: Italy's long-term Prime Minister Silvio Berlusconi resigns amid of public protests, financial crisis and sexual scandals."
15/12/2011,15 December: The Iraq War is declared formally over.
17/12/2011,"17 December: Kim Jong-il, the supreme leader of North Korea, dies on December 17. His son Kim Jong-un takes power in the country."
12/01/2012,"12 January: A civil unrest broke out in Romania in January 2012, because of the introduction of a new health reform legislation, but also by the unpopularity of Basescu-backed Boc government. The unrest continued until Victor Ponta's resignation in November 2015, in the wake of the Colectiv nightclub fire."
11/09/2012,"11 September: In Benghazi, Libya, an attack is coordinated against two United States government facilities by members of the Islamic militant group Ansar al-Sharia."
15/11/2012,"15 November: Xi Jinping becomes the General Secretary of the Communist Party of China, making him the paramount leader of China after Hu Jintao."
10/12/2012,"10 December: Séléka rebels seize power in the Central African Republic, ousting the President and government and beginning a civil war."
11/01/2013,11 January: France intervenes with its army in the Northern Mali conflict defeating the Islamists who had taken control of the country.
25/02/2013,"25 February: Park Geun-hye is elected President of South Korea, the first woman to hold the position."
28/02/2013,"28 February: Pope Benedict XVI resigns, becoming the first pope to step down since 1415. Benedict takes the title pope emeritus. At the subsequent papal conclave, Cardinal Jorge Mario Bergoglio of Argentina is elected pope on March 13, becoming the first Latin American pope. Bergoglio takes the name of Pope Francis."
05/03/2013,5 March: President of Venezuela Hugo Chávez dies due to prostate cancer and is replaced by Nicolás Maduro.
21/03/2013,21 March: Convicted Kurdish leader Abdullah Ocalan puts an end to the armed revolt against Turkey.
08/04/2013,"8 April: British politician and the first female Prime Minister Margaret Thatcher dies at the age of 87, from a stroke."
01/07/2013,1 July: Croatia becomes the 28th member of the European Union.
14/09/2013,"14 September: Syria avoids an American intervention on its soil during the Syrian Civil War, accepting to destroy all chemical weapons stocks owned."
01/11/2013,"November: China declares an ""Air Defense Identification Zone"" in the East China Sea, including over the Senkaku Islands, a group of islands held by Japan, but claimed by both Japan and China, and the Socotra Rock, claimed by both China and South Korea."
05/12/2013,"5 December: South African political and civil leader Nelson Mandela dies at the age of 95, from natural causes."
15/12/2013,15 December: The South Sudanese Civil War breaks out.
22/02/2014,"22 February: Ukrainian president Viktor Yanukovich is ousted amidst the Euromaidan revolution. Then Russian Federation annexed Crimea, and ""low intensity"" war in Donbass started between the Ukrainian government and Russian-backed separatists."
26/05/2014,26 May: Narendra Modi becomes 14th Prime Minister of India with clear majority in the election.
08/07/2014,"8 July: Israel, In tensions rise again between Hamas in the Gaza Strip and the State of Israel. Hamas fire hundreds of missiles into civilian cities in Israel, and the IDF retaliates and conducts airstrikes on the Gaza Strip for more than a month, with high casualties on both sides."
17/07/2014,"17 July: Malaysia Airlines Flight 17, a civilian commercial aircraft, is shot down in pro-Russian separatist-controlled territory in Eastern Ukraine."
18/09/2014,"18 September: Scotland, with the 2014 independence referendum, decides to remain part of the United Kingdom."
01/09/2014,"September to October: During the Syrian civil war, the terrorist group Islamic State of Iraq and the Levant rises and seizes territories in northern Iraq and Syria, near the border with Turkey. The United States lead a coalition of more than 30 countries to destroy ISIL. Meanwhile, Russia lead a coalition, with Syria, Iraq and Iran, and Russia's military action begins on September 30, 2015."
31/10/2014,"31 October: In Burkina Faso, President Blaise Compaoré resigns amidst widespread protests ending 27 years of leadership."
16/11/2014,"16 November: In Romania, Klaus Iohannis wins the November 2014 election, becoming the first Romanian president to come from an ethnic minority."
17/12/2014,"17 December: United States President Barack Obama and Cuban President Raúl Castro announce the beginning of a process of normalizing relations between Cuba and the United States, ending a 54-year stretch of hostility between the nations. Meanwhile, on July 20, 2015, with full diplomatic relations, the embassies of both countries are opened after five decades."
07/01/2015,"7 January: Two gunmen, brothers Saőd and Chérif Kouachi, commit a mass murder at the offices of Charlie Hebdo in Paris, killing 12 people. Following the attack, about two million people, including more than 40 world leaders, met in Paris for a rally of national unity, and 3.7 million people joined demonstrations across the country. The phrase Je suis Charlie became a common slogan of support at the rallies and in social media."
23/03/2015,23 March: Singaporean politician and the 1st Prime Minister of Singapore Lee Kuan Yew dies at the age of 91.
26/06/2015,"26 June: The Supreme Court of the United States, in Obergefell v. Hodges, determines that same-sex couples have a constitutional right to marry."
14/07/2015,"14 July: Iran and P5+1 (China, France, Russia, the UK, and the US + Germany), agree on final provisions of Joint Comprehensive Plan of Action in regards to the latter's nuclear program."
13/11/2015,13 November: ISIL claims responsibility of the November 2015 Paris attacks. Many were killed and injured from the incident.
24/11/2015,24 November: Turkey shoots down a Russian Sukhoi Su-24M attack aircraft. This is the first case of a NATO member destroying a Russian aircraft since the attack on the Sui-ho Dam (during the Korean War).
30/11/2015,"30 November: During the UN summit on Climate Change, 193 nations agree a process to reduce carbon emissions starting in 2020."
05/06/2016,"5 June: Hillary Clinton becomes the Democratic Party's nominee for president of the United States, making her the first woman to be nominated for president by a major party."
12/06/2016,"12 June: In Orlando, Florida, Omar Mateen, a 29-year-old security guard, kills 49 people and wounds 53 others in a terrorist attack inside Pulse, a gay nightclub."
23/06/2016,"23 June: The United Kingdom, with the June 2016 membership referendum, decides to leave the European Union."
13/07/2016,"13 July: After 6 years of leadership, UK politician and Prime Minister David Cameron resigns and is replaced by Theresa May."
15/07/2016,"15 July: A coup d'état is attempted in Turkey against state institutions, including but not limited to the government and President Recep Tayyip Erdogan. The attempt is carried out by a faction within the Turkish Armed Forces that organized themselves as the Peace at Home Council."
02/09/2016,"2 September: the 1st President of Uzbekistan Islam Karimov dies at age of 78, after 25 years of leadership."
28/09/2016,"28 September: Former President of Israel and 1994 Nobel Peace Prize awardee Shimon Peres dies at the age of 93, from a massive stroke."
13/10/2016,"13 October: Thai longest-reigning monarch Bhumibol Adulyadej dies at the age of 88, from a long illness."
08/11/2016,"8 November: Donald Trump is elected as the 45th President of the United States. The first without a military or political background, and the oldest person elected to a first term. He is sworn into office in January 2017."
25/11/2016,25 November: Cuban political and revolutionary leader Fidel Castro dies at the age of 90.
19/12/2016,19 December:
21/01/2017,"21 January: In opposition to Donald Trump's inauguration, millions of people in the U.S. and worldwide join the Women's March."
27/01/2017,"27 January: U.S. President Donald Trump signs an executive order restricting travel and immigration from seven Muslim-majority countries. This order was blocked by the U.S. federal courts; a second, related order issued by Trump was also blocked by the federal courts. The block of second order was partially removed, by the Supreme Court, in June. The Supreme Court stated they would reconsider the order in October."
06/04/2017,"6 April: In response to a suspected chemical weapons attack on a rebel-held town, the U.S. military launches 59 Tomahawk cruise missiles at Shayrat Airbase in Syria."
17/08/2017,"17 August: A terrorist attack drives into more than 100 people in Barcelona, Spain, killing 13 and injuring many."
27/10/2017,"27 October: Catalonia declares independence from Spain,[44] but the Catalan Republic is not recognised by the Spanish government or any other sovereign nation.[45]"
19/03/2018,19 March: Paula-Mae Weekes becomes the first female President of Trinidad and Tobago on the 19 March.
24/03/2018,"24 March: In over 900 cities internationally, people participate in demonstrations against gun violence and mass shootings, calling for stronger gun control in the March for Our Lives, which was a student-led demonstration in response to the Stoneman Douglas High School shooting in Parkland, Florida that took place in February."
09/05/2018,"9 May: The opposition-led Pakatan Harapan coalition, led by former Prime Minister Mahathir Mohamad, secures a parliamentary majority in the Malaysian Parliament, ending the 61-year rule of the Barisan Nasional coalition since independence in 1957."
19/05/2018,"19 May: The wedding of Prince Harry and Meghan Markle is held at St George's Chapel, England, with an estimated global audience of 1.9 billion."
12/06/2018,"12 June: President Donald Trump and North Korean leader Kim Jong-un attend a summit in Singapore, the first time leaders of their two countries had met in person."
28/10/2018,"28 October: Jair Bolsonaro is elected as the 38th President of Brazil, after having been stabbed during the election campaign and undergone three surgeries."
10/01/2019,"10 January: Venezuela enters into a presidential crisis after the disputed results of the 2018 Venezuelan presidential election leads to Juan Guaidó being declared the acting president, opposing Nicolás Maduro."
27/02/2019,27 February: President Donald Trump and North Korean leader Kim Jong-un meet for the 2019 North Korea?United States Hanoi Summit in Vietnam.
